,birta,litur,hljóð,bragð,lykt,áferð,vídd,stefna,staðsetning,uppruni,rúmdreifing,lögun,tilvera,tími,hraði,aldur,venja,hreyfing,eðli,ástand,jafnvægi,hamur,þroski,raki,mengun,þyngd,eðliseiginleiki,efniseiginleiki,hitastig,veður,líf,líkamsgerð,heilsa,líkamstilfinning,kyn,útlit,líkamsástand,tilfinning,örvun,gáfur,reynsla,hegðun,dýrseðli,hæfni,samband,samúð,tilhneiging,félagsstaða,stjórnmál,trú,ríki,svæði,tala,fjöldi,verð,uppskera,gildi,vissa,nauðsyn,hagnýtni,erfiði,virkni,öryggi,regla,tenging,samræmi,nákvæmni,heild,ástæða,tilvísun,gagn,samanburður,mat,einkenni,afleiðsla,neitun
birta,1003,243,134,45,69,57,76,63,89,416,299,200,13,56,70,205,24,46,281,49,67,22,112,123,82,48,72,52,274,47,41,135,51,52,6,957,10,325,845,68,3,276,17,69,471,58,367,20,23,65,327,23,69,82,30,171,97,40,51,80,87,41,24,117,11,27,22,10,56,47,24,139,1410,398,473,26
litur,120,2368,81,48,44,82,84,303,32,101,156,641,61,28,9,92,18,23,1659,26,58,133,53,39,61,17,22,99,95,13,34,74,33,25,5,372,23,45,97,37,8,22,29,10,69,44,118,13,84,41,230,4,52,172,33,114,105,39,17,17,24,21,13,73,22,24,19,3,44,31,22,229,436,254,76,18
hljóð,192,119,513,22,30,182,136,60,328,163,209,493,42,56,47,326,55,43,205,30,100,59,16,25,76,67,49,36,38,4,41,180,57,53,19,567,73,122,151,155,147,85,26,36,118,171,169,74,79,65,926,10,80,184,121,167,643,50,57,74,70,29,74,109,49,179,64,9,88,46,12,412,828,533,190,46
bragð,36,51,23,167,66,8,13,7,7,94,36,66,2,12,4,51,17,12,128,7,18,12,64,9,24,9,10,113,46,1,13,29,14,10,6,131,8,36,130,40,4,22,5,4,52,18,34,8,10,6,247,0,11,33,9,20,38,3,9,2,21,5,5,38,14,20,0,6,8,9,18,92,250,77,31,6
lykt,46,74,12,59,83,31,21,20,57,170,76,66,12,7,25,57,30,38,117,8,23,23,148,20,37,12,30,136,80,2,33,38,30,10,6,95,8,14,117,44,3,28,21,9,45,10,93,8,26,41,373,2,16,58,38,46,202,4,13,20,43,17,27,93,41,44,20,6,45,19,44,43,194,236,53,10
áferð,47,80,33,6,32,279,81,42,29,44,110,175,11,12,12,57,13,38,171,23,31,33,32,51,47,33,21,28,73,8,19,20,9,2,3,228,7,12,73,26,1,7,12,18,45,24,88,9,21,23,111,29,21,52,18,102,167,22,7,10,78,25,55,51,14,19,6,6,93,16,17,68,191,151,42,18
vídd,220,166,124,27,31,217,1019,63,104,495,388,514,45,96,216,200,102,651,383,113,311,54,25,26,105,103,94,41,127,8,493,157,49,136,20,645,32,79,775,119,93,88,51,83,160,185,340,22,115,73,492,33,80,234,129,531,1064,71,152,293,755,91,184,244,125,97,151,20,171,121,35,225,1283,912,702,67
stefna,22,1500,16,61,12,11,16,711,76,46,28,67,63,33,25,81,16,15,32,18,62,9,3,6,7,7,25,21,22,46,15,23,27,20,12,33,11,12,36,24,27,6,17,13,30,52,48,25,536,39,367,35,52,99,22,100,228,10,25,31,41,5,27,135,31,26,10,3,116,38,17,69,239,272,56,9
staðsetning,68,82,331,2,27,29,129,168,386,116,142,60,48,74,54,163,78,39,77,59,178,37,9,11,24,20,27,100,45,2,49,84,65,25,23,147,65,57,139,122,70,46,21,11,65,58,180,68,98,72,693,33,82,240,123,313,1117,33,116,127,155,138,144,217,119,171,47,10,561,100,88,252,789,974,204,24
uppruni,281,180,132,93,146,45,170,68,106,2765,226,178,29,74,108,376,164,144,587,117,69,65,115,17,104,54,211,135,60,9,104,237,95,58,16,1051,30,145,2307,246,133,360,42,239,304,176,860,46,256,170,2012,33,82,318,148,315,669,39,175,509,267,58,178,734,35,65,138,18,723,229,74,342,1857,1412,764,37
rúmdreifing,381,315,139,104,128,153,199,99,146,477,572,455,31,66,117,178,50,98,580,45,108,100,96,57,74,83,112,133,137,11,62,261,99,49,13,530,17,81,495,118,63,118,15,55,161,36,349,24,119,73,518,26,64,448,99,222,622,46,91,213,240,42,91,308,116,129,102,24,259,92,46,277,1188,694,303,79
lögun,148,535,172,62,73,174,164,119,37,125,263,1378,35,25,24,253,38,45,900,37,42,145,122,24,163,31,52,127,130,15,35,54,32,22,21,495,29,88,118,69,13,79,62,20,146,51,149,19,54,32,497,14,51,156,36,70,136,55,15,18,46,24,28,62,19,21,7,9,37,41,22,247,303,298,135,20
tilvera,14,12,17,3,7,3,13,54,26,13,36,10,950,46,13,89,8,22,16,8,23,8,2,3,9,1,11,7,5,1,12,23,9,12,87,75,17,15,17,57,16,4,4,8,19,30,42,17,103,47,423,12,36,87,18,50,269,3,9,7,8,3,30,54,29,47,17,7,116,15,11,58,114,182,31,5
tími,32,75,34,11,35,12,85,117,24,172,120,127,58,110,20,148,81,55,317,74,49,70,23,13,26,9,94,119,13,6,462,43,134,38,36,98,115,29,67,72,152,11,44,8,37,165,52,87,205,215,2994,16,293,408,31,442,1292,32,121,97,132,11,94,360,33,129,55,74,184,165,29,861,324,872,154,48
hraði,83,24,50,8,33,15,67,241,89,186,92,30,11,48,186,81,33,73,38,14,117,18,15,26,5,11,29,34,31,36,22,120,22,13,2,82,3,34,370,58,13,65,6,25,38,16,132,5,39,9,135,14,70,73,18,92,200,13,22,116,178,8,64,76,32,38,30,8,91,19,35,93,646,205,167,28
aldur,219,329,158,87,75,89,224,272,171,633,300,551,610,198,67,3703,94,143,669,135,152,124,280,47,516,49,126,86,105,3,292,565,217,423,132,1544,558,438,725,604,847,289,165,377,384,559,478,699,426,371,7648,40,179,578,159,294,1144,42,111,76,294,192,220,628,169,169,86,40,196,130,112,885,3502,2046,775,118
venja,52,99,60,54,82,25,186,74,204,497,114,138,30,72,53,214,204,45,443,111,157,47,52,25,73,33,62,128,50,3,79,119,85,103,34,422,50,93,436,128,57,136,22,63,111,57,315,96,202,87,1830,15,31,268,98,230,843,84,252,393,576,23,110,406,119,180,259,74,202,114,54,362,1457,1199,275,42
hreyfing,34,57,49,6,11,18,74,44,71,138,78,37,69,244,33,136,15,213,65,18,101,16,16,21,22,6,16,23,22,0,34,75,15,52,13,181,30,17,124,150,24,46,12,9,151,80,157,18,75,88,428,6,187,202,54,71,312,28,13,45,131,26,101,142,37,96,78,16,146,19,36,111,390,494,112,63
eðli,224,1909,130,120,134,139,275,79,50,578,426,1115,43,139,61,485,116,93,2947,90,96,167,261,80,219,51,110,221,123,15,91,168,60,43,58,933,99,108,726,127,67,101,50,104,142,119,237,34,101,128,1373,8,120,371,188,150,373,66,73,135,199,25,43,276,40,75,79,34,113,106,35,542,1245,897,262,43
ástand,65,77,22,6,9,32,142,37,40,196,82,54,24,55,22,139,50,25,143,148,53,17,9,8,47,17,23,32,33,5,52,64,124,23,16,160,21,58,284,30,11,151,9,9,92,46,121,16,219,33,852,7,48,181,33,126,412,17,47,143,114,24,64,99,32,55,68,12,91,77,24,145,435,615,131,34
jafnvægi,39,65,158,13,8,32,80,167,191,106,147,39,44,50,91,158,29,58,62,24,299,31,11,8,41,14,16,39,80,1,39,184,39,43,41,137,21,49,134,120,13,37,8,23,65,94,156,24,65,25,290,18,138,220,71,204,664,30,123,103,179,16,135,181,160,83,54,13,431,44,136,240,873,403,128,62
hamur,24,80,19,14,23,15,26,21,47,61,57,106,8,13,10,53,22,18,112,13,32,87,34,27,46,17,16,103,43,18,9,29,18,16,3,68,20,17,41,29,4,19,13,6,22,14,59,8,16,15,139,1,16,42,24,39,69,9,13,13,51,11,24,47,12,12,11,6,40,25,21,69,105,110,70,16
þroski,35,120,8,100,118,23,30,9,13,192,62,148,10,16,13,87,12,12,220,9,15,30,1043,28,23,18,19,376,95,3,63,58,81,41,7,126,14,56,195,50,21,32,22,19,34,19,51,14,15,10,446,0,14,37,92,48,28,3,22,18,18,14,22,41,4,20,5,5,14,7,23,73,270,183,48,15
