,skyn,staðsetning,tími,hreyfing,efni,veður,líkami,skap,hugi,hegðun,samfélag,fjöldi,tengsl,almennt,afleiðsla,neitun
skyn,6485,5104,1283,200,5762,75,3527,1967,536,2690,2898,1699,4181,5941,865,124
staðsetning,6263,13428,2767,1014,7106,92,5676,4364,1170,4783,7196,4205,14957,11987,2195,241
tími,1741,5423,5312,316,4615,48,5813,2192,1931,3555,15133,3264,11036,12452,1371,236
hreyfing,175,511,428,213,326,0,400,141,174,455,615,514,1226,995,112,63
efni,6159,7515,2766,427,13319,83,4682,3029,798,3259,5988,3782,9115,9551,1110,286
veður,83,84,60,12,128,42,47,14,2,19,23,25,45,122,8,0
líkami,3643,7791,3897,454,5808,36,9586,4908,1807,5701,8800,3684,14220,13628,3062,289
skap,1601,4128,2037,257,2390,10,3978,10925,568,4301,2663,1884,5438,9115,1966,130
hugi,449,1199,854,155,944,0,1328,554,1658,2140,3642,694,2393,2324,730,125
hegðun,2102,4882,2839,544,3464,20,4312,4666,2137,10053,9379,2372,9106,10908,3735,277
samfélag,869,3295,1272,188,1770,3,1951,455,793,1846,32337,1703,6048,3682,562,141
fjöldi,2762,8317,4837,602,5244,20,7036,5803,2303,5885,14154,11865,17520,23682,2046,270
tengsl,3536,13577,5567,1307,8453,27,8043,4560,2198,8982,17977,10167,66700,29400,4271,457
almennt,8942,20262,7497,1493,17225,109,17700,11848,3566,13134,20291,13675,55452,51490,6998,641
afleiðsla,669,2018,1087,153,1132,4,1425,2112,749,3526,1947,1384,4541,5531,2848,55
neitun,95,210,143,51,218,0,196,75,106,249,232,160,388,324,42,107
