,birta,litur,hljóð,bragð,lykt,áferð,vídd,stefna,staðsetning,uppruni,rúmdreifing,lögun,tilvera,tími,hraði,aldur,venja,hreyfing,eðli,ástand,jafnvægi,hamur,þroski,raki,mengun,þyngd,eðliseiginleiki,efniseiginleiki,hitastig,veður,líf,líkamsgerð,heilsa,líkamstilfinning,kyn,útlit,líkamsástand,tilfinning,örvun,gáfur,reynsla,hegðun,dýrseðli,hæfni,samband,samúð,tilhneiging,félagsstaða,stjórnmál,trú,ríki,svæði,tala,fjöldi,verð,uppskera,gildi,vissa,nauðsyn,hagnýtni,erfiði,virkni,öryggi,regla,tenging,samræmi,nákvæmni,heild,ástæða,tilvísun,gagn
birta,806,481,68,48,89,418,328,45,53,250,76,120,16,17,73,174,313,35,122,51,44,42,16,117,94,78,104,20,244,77,36,159,147,40,9,935,2,239,730,367,20,1797,151,190,353,48,161,25,27,59,305,25,19,81,89,127,72,64,41,52,54,38,47,46,6,24,22,63,26,23,19
litur,295,6780,28,96,147,502,755,77,81,291,215,734,125,33,86,340,688,50,893,64,97,194,51,85,192,71,246,83,180,22,50,295,116,94,58,874,22,87,302,144,48,1188,169,87,173,90,137,89,241,149,750,11,72,356,241,108,706,108,126,43,76,77,88,160,89,82,85,150,103,47,48
hljóð,50,40,58,9,24,155,109,11,14,34,24,10,23,21,32,103,135,19,14,10,33,10,1,8,13,10,18,5,39,3,17,17,30,25,4,67,6,37,62,58,12,212,23,18,36,15,46,17,31,32,143,3,25,73,28,10,84,7,39,10,10,6,19,43,12,22,18,70,15,6,14
bragð,28,112,13,182,47,90,132,5,7,65,22,10,16,14,21,89,145,19,15,9,15,22,24,15,30,22,148,51,49,2,7,59,22,23,11,99,4,34,142,52,15,335,38,21,45,36,30,23,24,25,221,3,14,39,28,14,53,5,21,3,13,10,17,32,8,16,5,38,18,15,24
lykt,67,168,9,22,89,63,56,6,9,127,24,30,5,3,17,89,64,10,58,8,11,25,91,16,35,19,144,62,131,2,14,46,41,10,12,130,4,49,123,30,7,222,30,16,20,6,28,8,4,28,245,3,13,47,27,13,28,7,13,16,8,12,11,34,3,7,5,8,8,11,19
áferð,408,736,57,106,114,973,412,137,37,434,205,192,31,52,160,196,384,135,279,56,83,144,38,162,154,140,421,95,169,47,43,278,134,48,15,738,6,52,458,253,43,1312,181,118,259,38,250,33,165,100,491,42,22,103,164,155,288,62,65,75,206,61,122,182,22,40,56,90,60,15,24
vídd,771,2999,136,465,170,1199,3945,210,752,1563,853,1206,245,275,693,1145,2767,702,858,359,489,455,66,140,356,631,1048,220,371,64,571,2286,499,190,77,4470,132,318,2263,637,874,6644,526,593,700,723,636,377,709,435,4235,351,295,778,2533,987,2452,147,1330,405,1672,306,534,887,191,374,258,243,632,256,112
stefna,26,1393,1,63,11,38,99,866,42,36,43,34,76,19,44,85,156,6,25,7,35,8,1,3,11,9,12,6,59,10,5,19,16,3,12,218,7,7,28,32,42,239,28,24,19,45,10,45,557,33,303,19,103,55,28,38,125,7,38,11,26,3,20,61,10,29,3,69,34,17,5
staðsetning,48,158,25,8,16,58,592,54,197,104,124,42,70,39,98,255,609,10,34,34,84,39,8,15,47,27,86,16,63,5,37,62,56,23,40,155,25,58,114,88,73,527,75,28,49,32,63,107,109,109,462,20,86,324,221,55,481,24,111,24,65,39,83,65,65,112,25,122,77,32,11
uppruni,172,477,28,106,141,353,697,65,75,2024,187,119,79,64,156,476,1437,92,424,69,44,99,88,20,159,107,505,182,78,20,93,266,134,32,26,1165,12,82,2093,568,207,2747,440,605,240,122,470,61,317,196,1944,51,85,283,1033,271,837,85,277,402,445,64,271,403,51,102,330,69,682,145,86
